Photometry,Sector,RV group,Likelihood,Log S0,Log Q,Log w0,Offset,Inc - S0,Inc + S0,Inc - Q,Inc + Q,Inc - w0,Inc + w0,Inc - Offset,Inc + Offset,RMS
TESS_18_1,All,1170.7,57.495168126372654,-11.402941443361833,3.009132446961746,5.618019228405771,0.01786226130611592,0.5766815328028088,0.6588734566676955,0.985485824014491,1.3850082664427061,0.0545064939811164,0.050994823655827304,0.023671198840817566,0.022960396542591223,0.04241199912182684
TESS_18_1,All,1519.79,19.542284926865285,-10.883782921573182,2.9960605902615445,5.764379108393642,0.03665948589046035,0.47958026353015626,0.5418214780832091,0.9383300367908136,1.3530707332333138,0.04802209517047462,0.048188968597413506,0.023597613059205012,0.02395334972170733,0.07304906995870179
TESS_18_1,All,1566.7,145.45145111185371,-10.976121713658838,1.948164053907347,5.5997761444217105,0.149107816667145,0.3700858420643094,0.41041936598165485,0.5736169300741629,0.7451145521222304,0.05416668761549648,0.05397959450141965,0.0159688771978026,0.01588106717371937,0.04546317604818183
TESS_18_1,All,1597.62,63.959354666267785,-11.736531103427772,3.545629722451844,5.702628195794501,0.08152954554129402,0.5441856933277531,0.5891289940129596,0.9697271351162096,1.3583125536677212,0.037771809511601084,0.033783073935460095,0.016658866074330772,0.01749352711618196,0.050666250582896755
TESS_18_1,All,2569.81,34.26307255702621,-10.336414917876535,2.1049516560176595,5.7738265087508704,0.13060702128585283,0.6283065074927681,0.7492327076613403,0.9078769307318773,1.249318417503333,0.08314725552563385,0.07036424233768734,0.0409460708490417,0.04127664512399987,0.07152373387936396
TESS_18_1,All,2583.88,44.783457271690466,-11.529605029054114,3.48826486640933,5.760814622025487,0.09213912210847675,0.6376274092218139,0.6357227465128048,0.8315198166019542,0.9982974741459198,0.023996104487438608,0.023688697691262917,0.022314744098817826,0.023253346338483083,0.0667692283657701
TESS_18_1,All,2685.7,39.00879144526409,-11.353391683012411,4.599346023089684,5.7111546986955535,0.025660083114410315,0.5944295934747572,0.616663759890292,1.1074969397072305,1.4559183374064073,0.02086553676158509,0.021532855987842048,0.025064512663849205,0.02469150947223525,0.055045592342031956
TESS_18_1,All,2694.56,41.88079309155515,-12.019284992896065,4.154242343681963,5.77699685345546,0.09900158764906408,0.8822306158299238,0.782455621186303,1.2505343895499355,1.604405654978648,0.03619158477108009,0.02957298697864541,0.020179410183203156,0.01883727982469377,0.05054581079878388
TESS_18_1,All,2707.08,88.60482843388012,-10.458470422073203,2.4584189081160503,5.600157294824243,0.19897937125955653,0.40934083901217555,0.47800370913406276,0.687076351550973,0.8720661788217261,0.057238770174354414,0.05363586872633164,0.025603783965503946,0.02682200571183932,0.0601037709583438
TESS_18_1,All,2985.24,84.13297651435934,-11.671654040140698,3.302944565811286,5.643635360523404,-0.012291979637579836,0.6707023448856315,0.6450128104404751,0.8234545588796784,0.938228147300153,0.038409600066922955,0.0366149331053327,0.020402808151087394,0.019353901242079558,0.08957632847053301
TESS_18_1,All,3344.74,45.13028057981355,-11.15609866405272,3.702190303200039,5.790567081744456,-0.16010592021324563,1.0676553425770763,1.2539508629573213,1.440449721265015,1.6690816180394723,0.06764059223519858,0.05155653653605974,0.03727975526795005,0.039774753406209215,0.07006313108582747
TESS_18_1,All,3668.0,122.91635599269446,-10.959485513357745,3.128770314145093,5.694299290579055,0.10588840420168286,0.4045195783757798,0.44963701425075264,0.7243550788566124,0.9019824567355932,0.03319983844537511,0.03196684072169553,0.021030337625699086,0.020500660710418755,0.06657614216239982
TESS_18_1,All,3712.63,138.58635094922062,-10.096041767886621,2.916199804175972,5.666078266804991,0.09925185656948818,0.3470328379240257,0.37625147693299965,0.5814662639524739,0.6998610063098853,0.03012835812056558,0.02782613706360859,0.025582280015626666,0.024467866136021713,0.06946432810796638
TESS_18_1,All,3770.45,836.1470552272888,-10.989368431592515,2.9590954106952347,5.664965044022098,0.08153190488905475,0.15480020914766612,0.15980176408822722,0.30918870054178926,0.35520110246452985,0.012131240854706071,0.01214307663081815,0.008013155323364413,0.007917646920465968,0.05579225728831387
TESS_18_1,All,3849.51,6.69917068025368,-10.821127933383579,3.3019541174626656,5.734138056668797,0.15045584696679365,0.45508387989992016,0.5076850282524745,0.9651855616470337,1.3524942583635413,0.04043620055519703,0.04080235239536645,0.02262615921986702,0.023406310119342383,0.04740219221700623
TESS_18_1,All,4007.84,50.75500544661135,-10.98349967757114,2.50797371787581,5.776644731666719,0.013996905184340973,0.5044643677802974,0.5478490448696345,0.7831394079779912,1.1654450951868864,0.045556790477352394,0.04529468299489903,0.02142463500999207,0.021588086194698323,0.08188711629694581
TESS_18_1,All,4037.19,517.7671416041628,-11.048160206264782,3.359654354348395,5.7060526207301745,0.034561990759724194,0.1287312388723798,0.13612124743147547,0.36804813594361807,0.45815907226775243,0.009951958171177111,0.0104535520600475,0.006668337834919533,0.0067985183701955165,0.053024655386746194
TESS_18_1,All,4064.77,48.719574590883994,-10.8407456082145,3.7482440949439697,5.698514015445877,-0.0583201057772963,0.415662307418069,0.4616210544967938,0.9605469370672615,1.3539826448520254,0.03329528972850859,0.03151128557227434,0.02317623585494146,0.024112264157584183,0.069106281253058
TESS_18_1,All,4094.64,790.7010206971557,-10.609219353920476,3.045414255867558,5.724129570594865,-0.043439391137342395,0.11680041357036863,0.11802491427640938,0.3347107347893856,0.4368629841952347,0.010344623252159124,0.010454360744984292,0.0071620299519822295,0.007277729476664586,0.050962001423702226
TESS_18_1,All,4207.68,383.68243597646824,-10.869925518013266,3.302047686658087,5.718218302530599,-0.034209649099364456,0.17664885670882136,0.1866396997221873,0.4073892721994077,0.5438791437644865,0.011224754663852643,0.011311633086389605,0.010026431106696848,0.010097166760725126,0.054532859478737664
TESS_18_1,All,4233.6,710.7988027429656,-10.863814842466224,2.8349641301905564,5.714836315785792,-0.07194840667467681,0.13045318052702903,0.13522012432399144,0.25150321247356056,0.2829076535257915,0.010637250199110326,0.010549210522039054,0.007439240145778847,0.00730229175368774,0.05852997860407198
