Photometry,Sector,RV group,Likelihood,Log S0,Log Q,Log w0,Offset,Inc - S0,Inc + S0,Inc - Q,Inc + Q,Inc - w0,Inc + w0,Inc - Offset,Inc + Offset
TESS_18_19,Sector1,3344.74,-306.27850033308215,2.6657721102876306,3.7107809628194732,5.790224062019646,-159.49223507412432,1.0611111775224698,1.229772302810436,1.4451137343315756,1.635518809225362,0.06684949836350906,0.05227255232895178,36.56624313704003,40.27508648117936
TESS_18_19,Sector1,3668.0,-790.6923178941706,2.8689603187302692,3.1197879882798514,5.693787055545266,105.92604366415608,0.41048694064431146,0.448177402586706,0.71590207492306,0.8942340237817374,0.033052876689311894,0.03170912240708468,20.89722364821057,20.897987263848762
TESS_18_19,Sector1,3712.63,-1074.4786462544841,3.720335480871549,2.9199214129248756,5.666340805114536,98.94540022600077,0.3539227467487498,0.3826457853415457,0.5963793188502127,0.70801759443829,0.029948389963432298,0.028369844150296863,25.563108416219507,24.69075393670687
TESS_18_19,Sector1,3770.45,-4311.178130139309,2.8264317514315365,2.958075696694113,5.665242872760999,81.33212731651727,0.1540021166277179,0.16185699113030916,0.3096626734424701,0.35599299922311456,0.012218211768690423,0.012282150112165269,8.112773750138246,8.063867646508712
TESS_18_19,Sector1,3849.51,-329.050330889009,2.9839603994075423,3.3268690385894653,5.734327605131928,150.50813300682125,0.4522610580345461,0.5070664773925868,0.9836758751844465,1.379705406687119,0.04053347998400536,0.040507765437721055,22.882536239862105,23.248592203128283
TESS_18_19,Sector1,4007.84,-544.5305090058846,2.834583043489621,2.521086587776983,5.776625553697457,13.663401675694693,0.5020605505992841,0.5471845023571289,0.7960703206666566,1.184322008069218,0.045386810616576234,0.045546347868299364,21.62080618514941,21.495107489782058
TESS_18_19,Sector1,4037.19,-3215.2915422730325,2.766723665960342,3.3566302302049893,5.706177802778609,34.55020092524022,0.12895514241031591,0.13604159093348134,0.3706900511487454,0.4662274884680828,0.010095131310278838,0.010353291769754414,6.849321392429857,6.739569719407598
TESS_18_19,Sector1,4064.77,-571.3821040314835,2.978096741131117,3.750395877383614,5.698168597525925,-58.43537898575474,0.4177589442692877,0.4579736388206257,0.9579192525458948,1.3611673006898712,0.032818288770325665,0.031181584259440953,23.617689628494986,24.200517605603793
TESS_18_19,Sector1,4094.64,-4765.589455244684,3.204312061073168,3.0437598784008637,5.724113026198603,-43.4246493576033,0.11489697192029835,0.11864149925290901,0.33612768999324505,0.43952425862175204,0.010388854653984758,0.010618995210320392,7.282502444157672,7.276736751485828
TESS_18_19,Sector1,4207.68,-2300.8262883274356,2.947264373377988,3.3127579456607386,5.718091575091792,-34.4086907665746,0.17828969631587732,0.18606374606869247,0.4131390083376263,0.5453601659799157,0.011075077103715358,0.01120691947164243,9.988632261734729,9.90304489750109
TESS_18_19,Sector1,4233.6,-4664.324576284989,2.9528134227698755,2.831935710706156,5.714928616874586,-72.15916851364632,0.13130856696462478,0.1366356895035925,0.2524967723950118,0.2805886512404636,0.0107564795465942,0.010644579720447744,7.265455372490351,7.439375633708508
TESS_18_19,Sector1,4525.58,-1052.655208210706,3.341744993467424,3.256509715342527,5.703104061037944,-92.87452919335863,0.2923088776602141,0.32008023036875555,0.7837687209929207,1.2389552634195722,0.028882921324913546,0.027529904493425406,21.061689029506738,20.975391547619836
TESS_18_19,Sector1,4787.42,-1313.6703920709974,3.869776138500528,2.324878866842243,5.712013668703637,4.328030839540773,0.22006495089405176,0.2344661292240935,0.3918248162581026,0.4936812819363694,0.022932611734020725,0.022694691969668668,17.14287241341099,17.161988744573048
TESS_18_19,Sector1,4828.73,-4167.08537227009,3.115101850547124,2.4237163062580764,5.727674055777936,29.25076465953302,0.13061772328375154,0.13946337175639556,0.2907222067297748,0.3611731040604793,0.014633137729657797,0.014629108547812741,8.235953856618814,8.14501111068219
TESS_18_19,Sector1,4907.33,-1797.6918260457837,2.7608112229387025,3.21550390036568,5.704840082389914,52.433913154083385,0.24283800795529142,0.26257577422037315,0.47209802976632487,0.5601078188731003,0.01884147152041038,0.01876483402087281,12.576756230739903,12.324115827124885
TESS_18_19,Sector1,4922.58,-3130.854533302986,2.750606803930375,2.993223682288428,5.767259171382104,64.17119636199651,0.16514609685923975,0.17601559691736846,0.39917851122234627,0.5168436674327594,0.01428596270614868,0.014165348600519323,8.899680858095884,8.803869077244414
TESS_18_19,Sector2,544.4,-972.9885441671623,2.5467783047334778,2.9495570634928754,5.730080102508843,-79.40147327784581,0.33242038805018925,0.35249614836175835,0.5387348185574621,0.6200320660886423,0.026999418489993765,0.026439656353813845,14.710534891513205,15.013708114533259
TESS_18_19,Sector2,780.71,-197.17436970081468,1.3391424370942484,4.538570870104369,5.6715906935413525,-62.325896063937535,1.088177899172409,0.966597658675971,1.3855880475692257,1.7604374197418693,0.03271722542245126,0.027723604591858297,18.3781074320662,17.604728510858955
TESS_18_19,Sector2,799.71,-372.52047821633903,2.385787859687217,4.1970206369105565,5.572516312793761,-68.25239539580534,0.5487347171120462,0.5697059044585129,1.0672907184973224,1.423775404661395,0.03418417676086705,0.03346006500506782,18.086402988513683,18.621047111492985
TESS_18_19,Sector2,829.66,-444.46364947907034,3.021184305388675,3.375132235244126,5.689048542417204,-200.2176456609473,0.4401736069212987,0.47907743636325506,0.829817291829948,1.2479631516375118,0.025641587724718917,0.025018656287867813,25.08900906921565,25.022843556280918
TESS_18_19,Sector2,851.32,-774.9837604061119,3.505878112090496,2.5527311720591834,5.631125658267807,-133.31508369541004,0.3287683306425757,0.3726192615874231,0.6261407795812435,0.805633535227547,0.041900139838482175,0.03856670611838453,22.699029853433842,23.40192163462963
TESS_18_19,Sector2,913.54,-347.60219577265264,1.8666597527953734,4.340709293056035,5.679650101022093,-84.48067820233862,0.5381870290592894,0.5384249643558556,1.0379758922927111,1.4267631258875468,0.02149828070125359,0.021225199439139253,14.568465070500451,14.725950737226242
TESS_18_19,Sector2,1131.79,-320.1839913695216,3.139330675240721,2.6518015482812656,5.639751014494436,3.5957036370219972,0.4242261683615176,0.4869497630369537,0.7642097772973662,1.144598906803655,0.04268942569820133,0.06579320306746439,27.81658583057539,27.563556803920733
TESS_18_19,Sector2,1170.7,-317.4599634152388,2.4199823350526835,2.994122996828291,5.6175395407141195,18.04846605861769,0.5786520704827762,0.6626148115831545,0.9871887280774474,1.357831187752132,0.05414877816328989,0.050384760197186296,23.41036757547289,23.535640237741603
TESS_18_19,Sector2,1519.79,-363.5978236140574,2.93851239893805,3.010847983166827,5.765065642946537,36.387864578622526,0.4816908421702504,0.536690079221747,0.9367693476542494,1.3486301726998908,0.04860386842589115,0.048701040513877025,23.904394245468456,24.025917357728517
