# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
HD 12648 b	Confirmed				2.9	0.4	0.4				133.6	0.5	0.5	0.54	0.02	0.02	0.04	0.16	0.16					2015	2015-10-01	99.3	140.7	140.7	2452324.7	57.6	57.6																			102.0	8.4	8.4										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 12648	34.75	85.736111128	6.98					158.4	9.0	9.0	-0.57	0.02	0.02	1.2	0.1	0.1	9.2	0.6	0.6	G5	4.5	1.0	1.0	4835.8	7.5	7.5			
HD 126525 b	Confirmed				0.224	0.0182	0.0182				948.12	21.966	21.966	1.8105	0.0411	0.0411	0.13	0.07	0.07				0.04752	2011	2011-09-11																																					Submitted to a professional journal	Radial Velocity					HD 126525	216.8875	-51.9330556	7.85					38.1	1.0	1.0										G4V									
HD 12661 b	Confirmed				2.3						263.6	1.2	1.2	0.83			0.377	0.008	0.008				0.022336	2000	2014-02-13	296.0	1.5	1.5	2454152.76	0.87	0.87																															Published in a refereed paper	Radial Velocity					HD 12661	31.1416667	25.4141667	7.44					37.16			0.29	0.05	0.05	1.07			1.12			G6 V	7.05			5742.0					
HD 12661 c	Confirmed				1.57						1708.0	14.0	14.0	2.56			0.031	0.022	0.022				0.068891	2002	2014-02-13	165.0			2446153.76	87.0	87.0																															Published in a refereed paper	Radial Velocity					HD 12661	31.1416667	25.4141667	7.44					37.16			0.29	0.05	0.05	1.07			1.12			G6 V	7.05			5742.0					
HD 126614 A b	Confirmed				0.38	0.04	0.04				1244.0	17.0	17.0	2.35	0.02	0.02	0.41	0.1	0.1				0.032459	2010	2019-12-13	243.0	19.0	19.0	2453808.0	52.0	52.0																															Published in a refereed paper	Radial Velocity			HD 126614 b		HD 126614 A	216.7	-5.1777778	8.81					72.4	5.3	5.3	0.56	0.04	0.04	1.145	0.03	0.03	1.09	0.06	0.06	K0	7.2	2.0	2.0	5585.0	44.0	44.0			HD 126614
HD 128311 b	Confirmed				2.18	0.022	0.022				448.6	6.8	6.8	1.099	0.04	0.04	0.25	0.1	0.1				0.066205	2002	2011-01-03	110.9	36.0	36.0	2450210.9	76.0	76.0																															Published in a refereed paper	Radial Velocity					HD 128311	219.0	9.7463889	7.51					16.6			0.08			0.84			0.73			K0V	0.39			4965.0			IR Excess		
HD 128311 c	Confirmed	4.19	0.83	1.27	3.21	0.3	0.3				919.0			1.76	0.13	0.13	0.17	0.09	0.09	50.0	10.0	10.0	0.106024	2005	2011-05-10	195.5	150.0	150.0	2450012.2	401.0	401.0																															Published in a refereed paper	Radial Velocity					HD 128311	219.0	9.7463889	7.51					16.6			0.08			0.84			0.73			K0V	0.39			4965.0			IR Excess		
HD 128356 b	Confirmed				0.89	0.07	0.07				298.2	1.6	1.6	0.87	0.03	0.03	0.57	0.08	0.08					2016	2016-04-02	84.0	4.6	4.6																						36.9	1.2	1.2										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 128356	219.270833335	-25.802500018	8.29					26.03	0.52	0.52	0.17	0.1	0.1	0.65	0.05	0.05	0.85	0.02	0.02	K3V	10.0	5.0	5.0	4875.0	100.0	100.0			
HD 129445 b	Confirmed				1.6	0.6	0.6				1840.0	55.0	55.0	2.9	0.2	0.2	0.7	0.1	0.1				0.042893	2010	2014-08-27	163.0	15.0	15.0	2453093.0	50.0	50.0																															Published in a refereed paper	Radial Velocity					HD 129445	221.5125	-68.7625	8.8					67.61	5.1	5.1	0.25			0.99						G8V									
HD 130322 b	Confirmed	1.05	0.03	0.77	1.02						10.72	0.07	0.07	0.088			0.044	0.018	0.018	76.0	42.0	42.0	0.002933	1999	2010-12-07	203.63	23.14	23.14	51287.38	0.68	0.68																															Published in a refereed paper	Radial Velocity					HD 130322	221.8875	-0.2813889	8.05					30.0			-0.02			0.79			0.83			K0 V	0.35			5330.0			IR Excess		
HD 131496 b	Confirmed				2.2	0.2	0.2				883.0	29.0	29.0	2.09	0.07	0.07	0.163	0.073	0.073				0.019	2011	2011-09-01	22.0	40.0	40.0	2456040.0	100.0	100.0																															Published in a refereed paper	Radial Velocity					HD 131496	223.3458333	18.2352778	7.96					110.0	9.4	9.4	0.25	0.03	0.03	1.61	0.11	0.11	4.6	0.1	0.1	K0	2.7	0.5	0.5	4927.0	44.0	44.0			
HD 13167 b	Confirmed				3.31	0.16	0.16	1.167			2613.0	17.0	17.0	4.1	0.43	0.43	0.563	0.033	0.033					2018	2018-12-20	265.0	6.0	6.0	2462162.0	54.0	54.0																			48.2	2.7	2.7										Published in a refereed paper	Radial Velocity	Radial Velocity	Theoretical			HD 13167	32.05743	-24.69541	8.34					149.6						1.35			2.39			G3V				5671.0					
HD 13189 b	Confirmed				14.0	6.0	6.0				471.6	6.0	6.0	1.85	0.35	0.35	0.27	0.06	0.06				0.01	2005	2012-08-10	160.7	12.0	12.0	2455327.9	20.2	20.2																															Published in a refereed paper	Radial Velocity					HD 13189	32.4166667	32.3163889	7.57					185.0						4.5	2.5	2.5	50.39	20.51	20.51	K2 II									
HD 132406 b	Confirmed				5.61						974.0	39.0	39.0	1.98			0.34	0.09	0.09				0.027887	2007	2007-10-30	214.0	19.0	19.0	53474.0	44.0	44.0																															Published in a refereed paper	Radial Velocity					HD 132406	224.2291667	53.3822222	8.45					71.0	3.5	3.5	0.18	0.05	0.05	1.09	0.05	0.05				G0V	6.4	0.8	0.8	5885.0	50.0	50.0			
HD 132563 B b	Confirmed				1.49	0.09	0.09				1544.0	34.0	34.0	2.62	0.04	0.04	0.22	0.09	0.09				0.027292	2011	2016-02-23	158.0	35.0	35.0	2452593.0	148.0	148.0																															Published in a refereed paper	Radial Velocity					HD 132563B	224.5875	44.0433333	9.47					96.0	13.0	13.0	-0.19	0.1	0.1	1.01	0.01	0.01					5.0			5985.0	100.0	100.0			
HD 133131 A b	Confirmed				1.43	0.04	0.04				649.0	3.0	3.0	1.44	0.005	0.005	0.32	0.03	0.03					2016	2016-08-24																									36.68	0.93	0.93										Published in a refereed paper	Radial Velocity					HD 133131 A	225.899193804	-27.8409866895	8.4					47.0			-0.306	0.016	0.016	0.95						G2V	9.7			5799.0	19.0	19.0			
HD 133131 A c	Confirmed				0.48	0.14	0.14				3407.0	970.0	970.0	4.36	0.82	0.82	0.47	0.22	0.22					2016	2016-08-24				2452277.0	1171.0	1171.0																			7.57	2.1	2.1										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 133131 A	225.899193804	-27.8409866895	8.4					47.0			-0.306	0.016	0.016	0.95						G2V	9.7			5799.0	19.0	19.0			
