# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
OGLE-2014-BLG-0124L b	Confirmed	0.64	0.044	0.044										3.48	0.22	0.22								2014	2017-09-05																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2014-BLG-0124L	270.620833343	-28.396388907						3600.0	300.0	300.0				0.89	0.05	0.05													
OGLE-2014-BLG-0257L b	Confirmed	36.0	5.0	5.0										0.61	0.07	0.07								2016	2016-03-17																																					Published in a refereed paper	Microlensing					OGLE-2014-BLG-0257L	270.450000016	-28.261944459						1250.0	130.0	130.0				0.19	0.02	0.02				M									
OGLE-2014-BLG-0676L b	Confirmed	3.09	1.12	1.02										4.4	1.46	2.16								2016	2017-06-28																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2014-BLG-0676L	268.104166675	-30.548333356						2220.0	830.0	960.0				0.62	0.22	0.2													
OGLE-2014-BLG-1112L b	Confirmed	31.7	8.2	8.2										9.63	1.33	1.33								2017	2019-07-01																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2014-BLG-1112L	272.151291679	-28.6658055812						4840.0	670.0	670.0				1.07	0.28	0.28													
OGLE-2014-BLG-1186L b	Confirmed	0.142	0.028	0.028																				2018	2018-10-29																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2014-BLG-1186L	265.5	-34.288333343						1700.0	300.0	300.0				0.35	0.06	0.06													
OGLE-2014-BLG-1722L b	Confirmed	0.174	0.104	0.16										1.9	0.8	1.3								2018	2018-10-29																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2014-BLG-1722L	268.754166667	-31.469166678						6400.0	130.0	190.0				0.4	0.24	0.36													
OGLE-2014-BLG-1722L c	Confirmed	0.2633	0.16	0.271										2.5	1.1	2.2								2018	2018-10-29																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2014-BLG-1722L	268.754166667	-31.469166678						6400.0	130.0	190.0				0.4	0.24	0.36													
OGLE-2014-BLG-1760L b	Confirmed	0.573	0.26	0.431										1.75	0.34	0.34								2016	2019-07-01																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2014-BLG-1760L	269.408333346	-28.963055585						6060.0	1110.0	1110.0				0.51	0.28	0.44													
OGLE-2015-BLG-0051L b	Confirmed	0.72	0.07	0.65										0.73	0.08	0.08								2016	2016-07-25																																					Published in a refereed paper	Microlensing			KMT-2015-BLG-0048Lb		OGLE-2015-BLG-0051L	269.66254168	-28.0316944568	16.4					8200.0	900.0	900.0				0.1	0.01	0.09				G									KMT-2015-BLG-0048
OGLE-2015-BLG-0954L b	Confirmed	4.4	1.6	1.6										1.2										2016	2016-03-02																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2015-BLG-0954L	270.183333348	-28.660833355						600.0	200.0	400.0				0.37	0.14	0.14													
OGLE-2015-BLG-0966L b	Confirmed	0.066	0.006	0.006										2.4	0.3	0.3								2015	2016-02-26																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2015-BLG-0966L	268.754166667	-29.047222234						2900.0	400.0	400.0				0.38	0.04	0.04				M									
OGLE-2015-BLG-1319L b	Confirmed	45.0	8.0	8.0										0.245	0.07	0.07								2016	2017-06-28																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2015-BLG-1319L	269.441666682	-32.472222236						5000.0						0.58	0.05	0.05				K									
OGLE-2015-BLG-1649 b	Confirmed	2.54	1.4	1.5										2.07	0.77	0.65								2019	2020-03-31																																					Published in a refereed paper	Microlensing	Microlensing				OGLE-2015-BLG-1649	271.204166683	-32.633055581						4230.0	1640.0	1510.0				0.34	0.19	0.19													
