# Time Residus
1.486099942017910962e+03 1.027039140510943582e-06
1.486101330893537579e+03 -1.230336588586844471e-05
1.486102719769281521e+03 1.058187975611080134e-05
1.486104108644908820e+03 -6.107104009611674655e-06
1.486105497520652079e+03 -9.765188984878214740e-06
1.486106886396278696e+03 -4.631888436246178742e-06
1.486108275272022411e+03 8.304936942149510060e-06
1.486109664147649255e+03 -1.907898580677525047e-06
1.486111053023275872e+03 3.015556538477071058e-06
1.486112441899019359e+03 -3.124756321570831830e-05
1.486113830774646203e+03 3.091803617183419561e-05
1.486115219650273502e+03 -5.952431159528259741e-06
1.486116608526017444e+03 -3.747604645032431847e-05
1.486117997401644061e+03 4.818548655594057095e-05
1.486119386277271587e+03 -3.021622524490563677e-05
1.486120775152898204e+03 -1.262720908479231241e-05
1.486122164028641237e+03 3.737930390212973464e-05
1.486123552904268763e+03 -6.049387205786516120e-05
1.486124941779895380e+03 5.932077682280212372e-05
1.486126330655522679e+03 -5.727533151700381353e-05
1.486127719531266393e+03 4.198382249809284872e-05
1.486129108406892556e+03 -4.624360490912415855e-05
1.486130497282519855e+03 5.356846206328036430e-05
1.486131886158147154e+03 -6.009039187793163705e-05
1.486133275033773316e+03 3.373554781416210346e-05
1.486134663909400388e+03 -6.041338376006066824e-06
1.486136052785027914e+03 -1.020597503065268086e-05
1.486137441660654531e+03 -1.288682338407287631e-05
1.486138830536282057e+03 2.974694343749195724e-05
1.486140219411908674e+03 -2.462707274708542116e-05
1.486141608287535291e+03 -4.445007405706746795e-06
1.486142997163162818e+03 4.060729671295781884e-06
1.486144386038789435e+03 1.191167546910065766e-05
1.486145774914416052e+03 -4.660044423243636658e-05
1.486147163790043578e+03 4.809818752671279896e-05
1.486148552665670650e+03 -1.629025812188711342e-05
1.486149941541297494e+03 -3.412817385162192352e-05
1.486151330416924338e+03 4.466419221738071599e-05
1.486152719292551410e+03 -3.128109287664493365e-05
1.486154108168178254e+03 -1.029409229647004764e-05
1.486155497043805099e+03 3.140854401073589486e-05
1.486156885919315755e+03 -3.417829120277993127e-05
1.486158274794942599e+03 1.614994932286339946e-05
1.486159663670569898e+03 -1.371806068939385170e-05
1.486161052546197425e+03 -3.271712749053357072e-06
1.486162441421823132e+03 3.638922652515752532e-05
1.486163830297334243e+03 -7.452662230222895090e-05
1.486165219172961770e+03 7.021699907316936162e-05
1.486166608048587477e+03 -4.828329364736649865e-05
1.486167996924098588e+03 -4.608903969804956091e-06
1.486169385799726115e+03 3.993131508006619868e-05
1.486170774675352732e+03 -6.175730612434371380e-05
1.486172163550863615e+03 5.717369167768104887e-05
1.486173552426490460e+03 -3.781791986490201651e-05
1.486174941302117077e+03 -6.020966679343153771e-06
1.486176330177627960e+03 2.878605741696294018e-05
1.486177719053254805e+03 -4.475333132492043120e-05
1.486179107928765006e+03 2.539686516167538599e-05
1.486180496804392078e+03 -4.692097200997835671e-06
1.486181885679903189e+03 -1.336045694411147622e-05
1.486183274555529806e+03 5.159671263799125995e-06
1.486184663431040008e+03 1.001986739135318771e-06
1.486186052306667534e+03 -1.409047359546278244e-05
1.486187441182177736e+03 1.368329968975956490e-05
1.486188830057804353e+03 -2.893953759453005148e-05
1.486190218933315464e+03 3.324042415020489472e-05
1.486191607808942081e+03 -2.896309247901740491e-05
1.486192996684453192e+03 -2.438619632894045708e-07
1.486194385559963848e+03 1.884550217967628782e-05
1.486195774435590010e+03 -2.812175650857007270e-05
1.486197163311101122e+03 8.573403164069404170e-07
1.486198552186611778e+03 6.667227731460556583e-06
1.486199941062237940e+03 3.080570371460922274e-06
1.486201329937749051e+03 -1.979872005541949420e-05
1.486202718813259708e+03 4.031728646491927748e-07
1.486204107688886552e+03 2.415680963818722660e-05
1.486205496564397436e+03 -3.548848669598925198e-05
1.486206885439907637e+03 -8.739284900194377315e-07
1.486208274315418066e+03 3.613840317273631086e-05
1.486209663190928950e+03 -5.394970565586465483e-05
1.486211052066555567e+03 2.637138342131972735e-05
1.486212440942065768e+03 -1.683995576906571756e-05
1.486213829817576880e+03 7.919142798185063725e-07
1.486215218693087991e+03 3.394110688170748347e-05
1.486216607568598192e+03 -5.474510950365107931e-05
1.486217996444108394e+03 1.425800933751997235e-05
1.486219385319619505e+03 7.303342824505065778e-06
1.486220774195129707e+03 -1.021914338761309438e-05
1.486222163070639908e+03 -1.743136451703986012e-05
1.486223551946151019e+03 3.475456302803880959e-05
1.486224940821661221e+03 -4.060629050584019240e-05
1.486226329697172105e+03 1.161083518508299051e-05
1.486227718572682988e+03 1.049513689255210380e-05
1.486229107448193190e+03 -2.902605442467454111e-05
1.486230496323704301e+03 2.115906109934062584e-05
1.486231885199214503e+03 -4.115806613635974998e-05
1.486233274074724704e+03 7.151056642995534673e-05
1.486234662950235816e+03 -8.665900093829392858e-05
1.486236051825746017e+03 4.609408053724006749e-05
1.486237440701257128e+03 -3.739623748222342670e-06
1.486238829576767785e+03 -2.332000536309219996e-05
1.486240218452161116e+03 -6.016870731095913527e-06
1.486241607327672227e+03 3.385424957558225145e-05
1.486242996203182884e+03 -4.117708555462229469e-05
1.486244385078692630e+03 1.186981740786130501e-05
1.486245773954203514e+03 5.322623515935376304e-06
1.486247162829597983e+03 -1.526113747041257795e-05
1.486248551705108184e+03 -1.404192202580922810e-05
1.486249940580619295e+03 3.470402995719990002e-05
1.486251329456013082e+03 -2.726635361571805305e-05
1.486252718331523283e+03 -1.382303442454269060e-05
1.486254107207034394e+03 1.270075538595261122e-05
1.486255496082428181e+03 -1.773667496152153689e-05
1.486256884957938382e+03 3.184397277788963976e-05
1.486258273833449493e+03 -5.269900767079782611e-05
1.486259662708844189e+03 5.188729476546249941e-05
1.486261051584354391e+03 -5.501748690328600588e-05
1.486262440459748177e+03 4.970618169397589270e-05
1.486263829335259061e+03 -6.327342896339516187e-05
1.486265218210653074e+03 3.855427377452702586e-05
1.486266607086163276e+03 6.285140873418804119e-06
1.486267995961557745e+03 -3.599976647938873953e-05
1.486269384837068174e+03 3.854816003956429427e-06
1.486270773712462415e+03 4.042068446385993497e-05
1.486272162587973526e+03 -8.566299543710798048e-05
1.486273551463366857e+03 5.822511576780708964e-05
1.486274940338877514e+03 7.171088732937924703e-06
1.486276329214272209e+03 -4.824976044226492178e-05
1.486277718089665314e+03 2.122315070740565801e-05
1.486279106965176197e+03 -7.901950771493915227e-08
1.486280495840570893e+03 -2.806016772471942033e-05
1.486281884715964679e+03 4.011811966808664920e-05
1.486283273591475790e+03 -3.206849941739253751e-05
1.486284662466869577e+03 -1.202030415425880960e-05
1.486286051342263363e+03 2.923277496913456730e-05
1.486287440217774474e+03 -3.647832964959185631e-05
1.486288829093168260e+03 2.755097752160651225e-05
1.486290217968562047e+03 -1.806702431328410796e-05
1.486291606843956743e+03 5.852469228129209000e-07
1.486292995719350984e+03 1.265090041280281241e-06
1.486294384594861185e+03 -2.301005808269529496e-05
1.486295773470255199e+03 2.727488039455661095e-05
1.486297162345649667e+03 -2.166416517124236663e-05
1.486298551221043454e+03 6.937164771847470490e-06
1.486299940096437467e+03 -3.828625412949371309e-05
1.486301328971831936e+03 6.059347813680560080e-05
1.486302717847225722e+03 -6.024065571530456964e-05
1.486304106722620418e+03 3.924690655643381376e-05
1.486305495598015114e+03 -5.219810013423753503e-05
1.486306884473407990e+03 5.955218649456028857e-05
1.486308273348802686e+03 -5.997933313905967623e-05
1.486309662224197382e+03 3.184548508006201928e-05
1.486311051099590259e+03 -3.598496269929807312e-05
1.486312439974984954e+03 6.430552079350615458e-05
1.486313828850379423e+03 -7.834923174376839938e-05
1.486315217725773437e+03 2.846772329745395069e-05
1.486316606601167678e+03 -2.314674943160177634e-06
1.486317995476561691e+03 1.220548063030069130e-05
1.486319384351955705e+03 -3.645064725921187687e-05
1.486320773227349946e+03 1.757337950780701874e-05
1.486322162102627317e+03 1.655456088944795567e-05
1.486323550978021331e+03 -6.373774573797952314e-05
1.486324939853415799e+03 5.353549105879817915e-05
1.486326328728810495e+03 -1.305579515842314464e-05
1.486327717604204281e+03 -3.904481951799709805e-05
1.486329106479481652e+03 5.030512728854130700e-05
1.486330495354876348e+03 -5.622548439943031440e-05
1.486331884230270134e+03 5.128219990324645039e-05
1.486333273105663920e+03 -5.183881077275298566e-05
1.486334661980942201e+03 1.321343411686548563e-05
1.486336050856335987e+03 7.952293454183134713e-06
1.486337439731730683e+03 -1.463493540787563774e-05
1.486338828607008509e+03 6.520907398610553685e-06
1.486340217482402522e+03 3.254231376037530765e-06
1.486341606357680575e+03 -4.214653604817097943e-05
1.486342995233074362e+03 3.072521152169827019e-05
1.486344384108351733e+03 1.879023373341226488e-06
1.486345772983746429e+03 -1.998268314573614646e-05
1.486347161859140215e+03 8.957302488621365910e-07
1.486348550734418495e+03 5.350165118267469211e-06
1.486349939609812964e+03 -6.519256234849279963e-08
1.486351328485089653e+03 -3.561192175938199256e-05
1.486352717360484348e+03 2.131388959381030901e-05
1.486354106235762401e+03 1.202762101970566988e-05
1.486355495111039090e+03 -3.226255558275159530e-05
1.486356883986433786e+03 -2.825887211121980158e-06
1.486358272861711612e+03 4.178641529062332438e-05
1.486359661737105625e+03 -7.602430601005849553e-05
1.486361050612383679e+03 5.475093943974052024e-05
1.486362439487661049e+03 -2.433180367689136148e-05
1.486363828363055063e+03 -2.782370565945768703e-06
1.486365217238333116e+03 -6.111662813168550201e-06
1.486366606113610487e+03 -3.903654821835189637e-06
1.486367994988888086e+03 1.377009565683984249e-05
1.486369383864282554e+03 -1.094307187421428296e-05
1.486370772739560834e+03 -2.022389442213334831e-05
1.486372161614838205e+03 1.474168467718861564e-05
1.486373550490115576e+03 -1.001032235103949120e-05
1.486374939365510272e+03 6.366994553586025063e-06
1.486376328240787643e+03 -2.001327004619302130e-05
1.486377717116065014e+03 -1.329062161881111592e-06
