Time Residus STD
1.131862065000000030e+03 9.228208720767274542e+01 5.618311722928708007e-02
1.131863499999999931e+03 9.227611435485466984e+01 5.588203134101430575e-02
1.131866023000000041e+03 9.227945162396744649e+01 5.744092266621943221e-02
1.131867435999999998e+03 9.227788172879122897e+01 5.669502934528831972e-02
1.131868848000000071e+03 9.227660757243180001e+01 5.479502750482407453e-02
1.131870247999999947e+03 9.228291251393291361e+01 5.565292093700839604e-02
1.131871660000000020e+03 9.227171905597306534e+01 5.676881823792150061e-02
1.131873072000000093e+03 9.228228493036571933e+01 5.490503421802270245e-02
1.131874483999999939e+03 9.227807548959823691e+01 5.858171272312853728e-02
1.131875919000000067e+03 9.227659279966731276e+01 6.150419827534556877e-02
1.131877332000000024e+03 9.227894816619200924e+01 5.934368532899580301e-02
1.170672737999999981e+03 2.549134768658657535e+01 7.194877081626024906e-02
1.170673825999999963e+03 2.548977098265013552e+01 6.701029641902604694e-02
1.170674903000000086e+03 2.551325641089359308e+01 6.610319947817901165e-02
1.170676001999999926e+03 2.546121385408672921e+01 6.878791196909947447e-02
1.170677067000000079e+03 2.552235850120754890e+01 6.927068546249207093e-02
1.170678165999999919e+03 2.547238388704351664e+01 6.929882787532606891e-02
1.170679243000000042e+03 2.550009220047118319e+01 6.681677857431569945e-02
1.170680342000000110e+03 2.550455683092449277e+01 6.645399981961551406e-02
1.170681430000000091e+03 2.547048233154326624e+01 6.716556877281101845e-02
1.170682506999999987e+03 2.551621458163770484e+01 6.849610924754580277e-02
1.170683606000000054e+03 2.547939945294420738e+01 6.530333353414927156e-02
1.170684682999999950e+03 2.550302087472604029e+01 6.573417259427248582e-02
1.170685782000000017e+03 2.548843504554191952e+01 6.724560371666885028e-02
1.170686858999999913e+03 2.548658142188724085e+01 6.688562389574463640e-02
1.170687946999999895e+03 2.551253916770836128e+01 6.303801947733773947e-02
1.170689022999999906e+03 2.546590236116501771e+01 6.507748225840356837e-02
1.170690133999999944e+03 2.552469070031925824e+01 6.781050195214256837e-02
1.170691209999999955e+03 2.546130959598118082e+01 6.797321701580291697e-02
1.170692297999999937e+03 2.552012385587351417e+01 6.918258481471668830e-02
1.170693363000000090e+03 2.548721480940994866e+01 6.979636949076342689e-02
1.170694451000000072e+03 2.547836392081152823e+01 6.988166441715321087e-02
1.170695551000000023e+03 2.551775492829359848e+01 7.283520196842287187e-02
1.170696615999999949e+03 2.546641316834845270e+01 7.199043800900424561e-02
1.170697703999999931e+03 2.552704635005388667e+01 7.244063744338866129e-02
1.170698802999999998e+03 2.545704065374352965e+01 7.281748023007759973e-02
1.170699890999999980e+03 2.552194202026205971e+01 7.167870976602376543e-02
1.170700966999999991e+03 2.547762238669175261e+01 7.303107074433262680e-02
1.170702054999999973e+03 2.549712323353530152e+01 7.018416210884884099e-02
1.170703119999999899e+03 2.549197341392621396e+01 7.347771167933847547e-02
1.170704208000000108e+03 2.549286733274157157e+01 7.709397244940793814e-02
1.170705273000000034e+03 2.550627244011964478e+01 7.987979936279995807e-02
1.170706372999999985e+03 2.547252061857500749e+01 7.331250351939250232e-02
1.170707484000000022e+03 2.551895342465314087e+01 8.363466239279279679e-02
1.170708536999999978e+03 2.548033044193263663e+01 9.011020099847705245e-02
1.170709636000000046e+03 2.549356447426866268e+01 7.940487269351223509e-02
1.170710700999999972e+03 2.548878649854622935e+01 8.019621286128343629e-02
1.170711778000000095e+03 2.550913783251017009e+01 7.582092400311127300e-02
1.170712876999999935e+03 2.546970959599855888e+01 7.724810790861305621e-02
1.170713942000000088e+03 2.551233198532185042e+01 7.524342785682713863e-02
1.170715065000000095e+03 2.548556930631647077e+01 8.156240861129847308e-02
1.170716141000000107e+03 2.548252596632181977e+01 7.880534528161092789e-02
1.170717229000000088e+03 2.551926654484397261e+01 7.471933333701381852e-02
1.170718305999999984e+03 2.546197702173057209e+01 7.547595744252753869e-02
1.170719393000000082e+03 2.551130253168774686e+01 7.458553142298214589e-02
1.170720481000000063e+03 2.549427974522681950e+01 8.001888260044251466e-02
1.170721569000000045e+03 2.548367024854787388e+01 7.285632694455403124e-02
1.170722657000000027e+03 2.550962504322201596e+01 7.516310748406604403e-02
1.170723733999999922e+03 2.546894498024053988e+01 7.463421303613373969e-02
1.170724809999999934e+03 2.551637272420152769e+01 7.383367202875772140e-02
1.170725897999999916e+03 2.548431551572914699e+01 7.310292474892192416e-02
1.170726963000000069e+03 2.549039218476577062e+01 7.706935064118707046e-02
1.170728074000000106e+03 2.550183030428564024e+01 8.104831098844783588e-02
1.170729139000000032e+03 2.548660271349982409e+01 7.977214402753400602e-02
1.170730238000000099e+03 2.549566112560079389e+01 7.340273387689648377e-02
1.170731326000000081e+03 2.549324053367428533e+01 7.825742614346445358e-02
1.519755024999999932e+03 9.887916409327000622e+01 6.414637906233540410e-02
1.519756413999999950e+03 9.887230567769221068e+01 6.319296003164502629e-02
1.519757837999999992e+03 9.888270228689783892e+01 6.489720567987131150e-02
1.519759238000000096e+03 9.887049356856677207e+01 6.635767658239495603e-02
1.519760639000000083e+03 9.888577814968903112e+01 6.470615409127150608e-02
1.519762062000000014e+03 9.887003643997178415e+01 6.379353811088091242e-02
1.519763509000000113e+03 9.888115322515996297e+01 6.379139897771726742e-02
1.519764897999999903e+03 9.887333099944719095e+01 6.062784004122614978e-02
1.519766286999999920e+03 9.888023310591977122e+01 6.438115985364704918e-02
1.519767710999999963e+03 9.887859982241631940e+01 6.612588600819344076e-02
1.519769123000000036e+03 9.887062625752724898e+01 6.739570832898066077e-02
1.519770569999999907e+03 9.888933291767661160e+01 7.059490478416849402e-02
1.519771981999999980e+03 9.886250017859499906e+01 6.725349923821788423e-02
1.519773382000000083e+03 9.889391687786515206e+01 6.664559085911203606e-02
1.519774783000000070e+03 9.885435269334698205e+01 6.247466801456873220e-02
1.519776217999999972e+03 9.892063868065568499e+01 7.257014377367171365e-02
1.519777606999999989e+03 9.884094838204300970e+01 7.035363111050706164e-02
1.519779019000000062e+03 9.889042156158335217e+01 6.553995392011602306e-02
1.519780430999999908e+03 9.887972628193269031e+01 6.752352204993219975e-02
1.519781854000000067e+03 9.886637757971934093e+01 6.210960723744314571e-02
1.519783231999999998e+03 9.889375537175422437e+01 6.661355733094924403e-02
1.519784644000000071e+03 9.886393829035506542e+01 6.654591207475582526e-02
1.519786102000000028e+03 9.887781127880886345e+01 6.145288925078092046e-02
1.519787479000000076e+03 9.888936699334789182e+01 6.196968158448452890e-02
1.519788915000000088e+03 9.885975528470801521e+01 6.006596343639526020e-02
1.519790269000000080e+03 9.889430423161410033e+01 6.565165943236921098e-02
1.519791680999999926e+03 9.886602060598991670e+01 6.498221096019952958e-02
1.519793128000000024e+03 9.888320131934194990e+01 6.569203038992212085e-02
1.519794527999999900e+03 9.887872342175496954e+01 6.241661766777399645e-02
1.519795939999999973e+03 9.887100368157274488e+01 6.161185469638925938e-02
1.519797364000000016e+03 9.887949034019450778e+01 6.725860677122842690e-02
1.519798776000000089e+03 9.888577785115320751e+01 6.412722750152141660e-02
1.519800175999999965e+03 9.885863927157807041e+01 7.390668623902746370e-02
1.519801588000000038e+03 9.888660110587916563e+01 7.425763370764171256e-02
1.519803000000000111e+03 9.887556959549355895e+01 7.453544455040872485e-02
1.519804388999999901e+03 9.888506978586529783e+01 7.592523649682109133e-02
1.519805835999999999e+03 9.885840022566264906e+01 7.163253192600158026e-02
1.519807236999999986e+03 9.890619864237432068e+01 7.226504506058865906e-02
1.519808626000000004e+03 9.883979870430694348e+01 7.700271562602127584e-02
1.519810048999999935e+03 9.890790943570608817e+01 8.172232050889631505e-02
1.519811461000000008e+03 9.886987191146972975e+01 7.866642590929773249e-02
1.519812885000000051e+03 9.886334136325331201e+01 8.136576504489528849e-02
1.519814331999999922e+03 9.890288852435671174e+01 8.449332283836658020e-02
1.519815720999999940e+03 9.885938490242345722e+01 7.705065654852123747e-02
1.519817133000000013e+03 9.888694148390435146e+01 7.999279664951845781e-02
